Mode,N,M,K,PartitionType,TimeMs,Operations,Run
Parallel,1000,4,1,Circular-IndexDep,0.1596,1000,2
Parallel,1000,4,1,Circular-IndexDep,0.1383,1000,3
Parallel,1000,4,10,Range-Uniform,0.2122,10000,1
Parallel,1000,4,10,Range-Uniform,0.1375,10000,2
Parallel,1000,4,10,Range-Uniform,0.1566,10000,3
Parallel,1000,4,10,Circular-Uniform,0.1405,10000,1
Parallel,1000,4,10,Circular-Uniform,0.1359,10000,2
Parallel,1000,4,10,Circular-Uniform,0.1691,10000,3
Parallel,1000,4,10,Range-IndexDep,0.134,9955,1
Parallel,1000,4,10,Range-IndexDep,0.1795,9955,2
Parallel,1000,4,10,Range-IndexDep,0.1659,9955,3
Parallel,1000,4,10,Circular-IndexDep,0.1549,9955,1
Parallel,1000,4,10,Circular-IndexDep,0.1841,9955,2
Parallel,1000,4,10,Circular-IndexDep,0.1391,9955,3
Parallel,1000,4,100,Range-Uniform,2.8275,100000,1
Parallel,1000,4,100,Range-Uniform,3.1203,100000,2
Parallel,1000,4,100,Range-Uniform,2.9785,100000,3
Parallel,1000,4,100,Circular-Uniform,2.7537,100000,1
Parallel,1000,4,100,Circular-Uniform,3.0617,100000,2
Parallel,1000,4,100,Circular-Uniform,3.0575,100000,3
Parallel,1000,4,100,Range-IndexDep,2.61,95050,1
Parallel,1000,4,100,Range-IndexDep,2.2547,95050,2
Parallel,1000,4,100,Range-IndexDep,3.0157,95050,3
Parallel,1000,4,100,Circular-IndexDep,2.7151,95050,1
Parallel,1000,4,100,Circular-IndexDep,2.8747,95050,2
Parallel,1000,4,100,Circular-IndexDep,2.8215,95050,3
Parallel,1000,5,1,Range-Uniform,0.1798,1000,1
Parallel,1000,5,1,Range-Uniform,0.1617,1000,2
Parallel,1000,5,1,Range-Uniform,0.1719,1000,3
Parallel,1000,5,1,Circular-Uniform,0.1585,1000,1
Parallel,1000,5,1,Circular-Uniform,0.1675,1000,2
Parallel,1000,5,1,Circular-Uniform,0.1531,1000,3
Parallel,1000,5,1,Range-IndexDep,0.2321,1000,1
Parallel,1000,5,1,Range-IndexDep,0.2741,1000,2
Parallel,1000,5,1,Range-IndexDep,0.257,1000,3
Parallel,1000,5,1,Circular-IndexDep,0.1859,1000,1
Parallel,1000,5,1,Circular-IndexDep,0.2234,1000,2
Parallel,1000,5,1,Circular-IndexDep,0.2451,1000,3
Parallel,1000,5,10,Range-Uniform,0.3035,10000,1
Parallel,1000,5,10,Range-Uniform,0.2404,10000,2
Parallel,1000,5,10,Range-Uniform,0.1841,10000,3
Parallel,1000,5,10,Circular-Uniform,0.1821,10000,1
Parallel,1000,5,10,Circular-Uniform,0.1721,10000,2
Parallel,1000,5,10,Circular-Uniform,0.1937,10000,3
Parallel,1000,5,10,Range-IndexDep,0.1922,9955,1
Parallel,1000,5,10,Range-IndexDep,0.1761,9955,2
Parallel,1000,5,10,Range-IndexDep,0.1677,9955,3
Parallel,1000,5,10,Circular-IndexDep,0.186,9955,1
Parallel,1000,5,10,Circular-IndexDep,0.1855,9955,2
Parallel,1000,5,10,Circular-IndexDep,0.1751,9955,3
Parallel,1000,5,100,Range-Uniform,4.33,100000,1
Parallel,1000,5,100,Range-Uniform,3.1562,100000,2
Parallel,1000,5,100,Range-Uniform,3.8171,100000,3
Parallel,1000,5,100,Circular-Uniform,3.265,100000,1
Parallel,1000,5,100,Circular-Uniform,3.3977,100000,2
Parallel,1000,5,100,Circular-Uniform,3.7552,100000,3
Parallel,1000,5,100,Range-IndexDep,3.2286,95050,1
Parallel,1000,5,100,Range-IndexDep,2.7265,95050,2
Parallel,1000,5,100,Range-IndexDep,2.9124,95050,3
Parallel,1000,5,100,Circular-IndexDep,2.9395,95050,1
Parallel,1000,5,100,Circular-IndexDep,2.86,95050,2
Parallel,1000,5,100,Circular-IndexDep,3.4005,95050,3
Parallel,1000,10,1,Range-Uniform,0.3839,1000,1
Parallel,1000,10,1,Range-Uniform,0.3394,1000,2
Parallel,1000,10,1,Range-Uniform,0.2981,1000,3
Parallel,1000,10,1,Circular-Uniform,0.3041,1000,1
Parallel,1000,10,1,Circular-Uniform,0.3984,1000,2
Parallel,1000,10,1,Circular-Uniform,0.3351,1000,3
Parallel,1000,10,1,Range-IndexDep,0.312,1000,1
Parallel,1000,10,1,Range-IndexDep,0.3538,1000,2
Parallel,1000,10,1,Range-IndexDep,0.3185,1000,3
Parallel,1000,10,1,Circular-IndexDep,0.3107,1000,1
Parallel,1000,10,1,Circular-IndexDep,0.309,1000,2
Parallel,1000,10,1,Circular-IndexDep,0.3471,1000,3
Parallel,1000,10,10,Range-Uniform,0.318,10000,1
Parallel,1000,10,10,Range-Uniform,0.3406,10000,2
Parallel,1000,10,10,Range-Uniform,0.2986,10000,3
Parallel,1000,10,10,Circular-Uniform,0.4843,10000,1
Parallel,1000,10,10,Circular-Uniform,0.4102,10000,2
Parallel,1000,10,10,Circular-Uniform,0.3785,10000,3
Parallel,1000,10,10,Range-IndexDep,0.4917,9955,1
Parallel,1000,10,10,Range-IndexDep,0.3823,9955,2
Parallel,1000,10,10,Range-IndexDep,0.4255,9955,3
Parallel,1000,10,10,Circular-IndexDep,0.3394,9955,1
Parallel,1000,10,10,Circular-IndexDep,1.0918,9955,2
Parallel,1000,10,10,Circular-IndexDep,0.3062,9955,3
Parallel,1000,10,100,Range-Uniform,5.2449,100000,1
Parallel,1000,10,100,Range-Uniform,4.7264,100000,2
Parallel,1000,10,100,Range-Uniform,4.8195,100000,3
Parallel,1000,10,100,Circular-Uniform,4.1999,100000,1
Parallel,1000,10,100,Circular-Uniform,4.279,100000,2
Parallel,1000,10,100,Circular-Uniform,4.5303,100000,3
Parallel,1000,10,100,Range-IndexDep,3.8811,95050,1
Parallel,1000,10,100,Range-IndexDep,3.6365,95050,2
Parallel,1000,10,100,Range-IndexDep,3.4567,95050,3
Parallel,1000,10,100,Circular-IndexDep,4.1594,95050,1
Parallel,1000,10,100,Circular-IndexDep,4.4827,95050,2
Parallel,1000,10,100,Circular-IndexDep,3.8127,95050,3
Parallel,100000,2,1,Range-Uniform,3.1324,100000,1
Parallel,100000,2,1,Range-Uniform,3.6,100000,2
Parallel,100000,2,1,Range-Uniform,2.7523,100000,3
Parallel,100000,2,1,Circular-Uniform,3.708,100000,1
Parallel,100000,2,1,Circular-Uniform,3.0843,100000,2
Parallel,100000,2,1,Circular-Uniform,3.1897,100000,3
Parallel,100000,2,1,Range-IndexDep,4.853,100000,1
Parallel,100000,2,1,Range-IndexDep,4.6504,100000,2
Parallel,100000,2,1,Range-IndexDep,5.2227,100000,3
Parallel,100000,2,1,Circular-IndexDep,6.4463,100000,1
Parallel,100000,2,1,Circular-IndexDep,4.4621,100000,2
Parallel,100000,2,1,Circular-IndexDep,5.5239,100000,3
Parallel,100000,2,10,Range-Uniform,20.4145,1000000,1
Parallel,100000,2,10,Range-Uniform,27.2024,1000000,2
Parallel,100000,2,10,Range-Uniform,20.2288,1000000,3
Parallel,100000,2,10,Circular-Uniform,20.6572,1000000,1
Parallel,100000,2,10,Circular-Uniform,29.4107,1000000,2
Parallel,100000,2,10,Circular-Uniform,22.2624,1000000,3
Parallel,100000,2,10,Range-IndexDep,23.2674,999955,1
Parallel,100000,2,10,Range-IndexDep,17.0745,999955,2
Parallel,100000,2,10,Range-IndexDep,15.6291,999955,3
Parallel,100000,2,10,Circular-IndexDep,17.5637,999955,1
Parallel,100000,2,10,Circular-IndexDep,19.6023,999955,2
Parallel,100000,2,10,Circular-IndexDep,15.6572,999955,3
Parallel,100000,2,100,Range-Uniform,252.4963,10000000,1
Parallel,100000,2,100,Range-Uniform,270.9287,10000000,2
Parallel,100000,2,100,Range-Uniform,267.6573,10000000,3
Parallel,100000,2,100,Circular-Uniform,266.6155,10000000,1
Parallel,100000,2,100,Circular-Uniform,286.6672,10000000,2
Parallel,100000,2,100,Circular-Uniform,252.3787,10000000,3
Parallel,100000,2,100,Range-IndexDep,259.7059,9995050,1
Parallel,100000,2,100,Range-IndexDep,257.7284,9995050,2
Parallel,100000,2,100,Range-IndexDep,254.7026,9995050,3
Parallel,100000,2,100,Circular-IndexDep,252.3917,9995050,1
Parallel,100000,2,100,Circular-IndexDep,276.0344,9995050,2
Parallel,100000,2,100,Circular-IndexDep,270.2999,9995050,3
Parallel,100000,3,1,Range-Uniform,3.5292,100000,1
Parallel,100000,3,1,Range-Uniform,3.6622,100000,2
Parallel,100000,3,1,Range-Uniform,3.9695,100000,3
Parallel,100000,3,1,Circular-Uniform,4.2544,100000,1
Parallel,100000,3,1,Circular-Uniform,4.241,100000,2
Parallel,100000,3,1,Circular-Uniform,3.6937,100000,3
Parallel,100000,3,1,Range-IndexDep,3.6904,100000,1
Parallel,100000,3,1,Range-IndexDep,4.3277,100000,2
Parallel,100000,3,1,Range-IndexDep,3.9483,100000,3
Parallel,100000,3,1,Circular-IndexDep,4.9849,100000,1
Parallel,100000,3,1,Circular-IndexDep,5.3107,100000,2
Parallel,100000,3,1,Circular-IndexDep,5.2777,100000,3
Parallel,100000,3,10,Range-Uniform,28.8528,1000000,1
Parallel,100000,3,10,Range-Uniform,27.715,1000000,2
Parallel,100000,3,10,Range-Uniform,29.168,1000000,3
Parallel,100000,3,10,Circular-Uniform,27.4564,1000000,1
Parallel,100000,3,10,Circular-Uniform,28.9533,1000000,2
Parallel,100000,3,10,Circular-Uniform,29.503,1000000,3
Parallel,100000,3,10,Range-IndexDep,28.6887,999955,1
Parallel,100000,3,10,Range-IndexDep,29.0073,999955,2
Parallel,100000,3,10,Range-IndexDep,29.2411,999955,3
Parallel,100000,3,10,Circular-IndexDep,27.4311,999955,1
Parallel,100000,3,10,Circular-IndexDep,30.3312,999955,2
Parallel,100000,3,10,Circular-IndexDep,31.302,999955,3
Parallel,100000,3,100,Range-Uniform,292.4057,10000000,1
Parallel,100000,3,100,Range-Uniform,317.0167,10000000,2
Parallel,100000,3,100,Range-Uniform,309.5462,10000000,3
Parallel,100000,3,100,Circular-Uniform,296.2979,10000000,1
Parallel,100000,3,100,Circular-Uniform,321.5417,10000000,2
Parallel,100000,3,100,Circular-Uniform,300.7282,10000000,3
Parallel,100000,3,100,Range-IndexDep,309.5153,9995050,1
Parallel,100000,3,100,Range-IndexDep,310.9015,9995050,2
Parallel,100000,3,100,Range-IndexDep,308.2847,9995050,3
Parallel,100000,3,100,Circular-IndexDep,283.8434,9995050,1
Parallel,100000,3,100,Circular-IndexDep,300.2086,9995050,2
Parallel,100000,3,100,Circular-IndexDep,297.6352,9995050,3
Parallel,100000,4,1,Range-Uniform,5.2271,100000,1
Parallel,100000,4,1,Range-Uniform,4.2309,100000,2
Parallel,100000,4,1,Range-Uniform,4.3575,100000,3
Parallel,100000,4,1,Circular-Uniform,4.7665,100000,1
Parallel,100000,4,1,Circular-Uniform,4.97,100000,2
Parallel,100000,4,1,Circular-Uniform,5.5194,100000,3
Parallel,100000,4,1,Range-IndexDep,5.661,100000,1
Parallel,100000,4,1,Range-IndexDep,5.5992,100000,2
Parallel,100000,4,1,Range-IndexDep,5.5783,100000,3
Parallel,100000,4,1,Circular-IndexDep,5.7146,100000,1
Parallel,100000,4,1,Circular-IndexDep,4.917,100000,2
Parallel,100000,4,1,Circular-IndexDep,5.5416,100000,3
Parallel,100000,4,10,Range-Uniform,32.1185,1000000,1
Parallel,100000,4,10,Range-Uniform,32.6402,1000000,2
Parallel,100000,4,10,Range-Uniform,38.6215,1000000,3
Parallel,100000,4,10,Circular-Uniform,35.3534,1000000,1
Parallel,100000,4,10,Circular-Uniform,31.8837,1000000,2
Parallel,100000,4,10,Circular-Uniform,37.206,1000000,3
Parallel,100000,4,10,Range-IndexDep,32.1331,999955,1
Parallel,100000,4,10,Range-IndexDep,38.0641,999955,2
Parallel,100000,4,10,Range-IndexDep,33.6001,999955,3
Parallel,100000,4,10,Circular-IndexDep,41.6928,999955,1
Parallel,100000,4,10,Circular-IndexDep,31.6838,999955,2
Parallel,100000,4,10,Circular-IndexDep,41.1965,999955,3
Parallel,100000,4,100,Range-Uniform,310.3926,10000000,1
Parallel,100000,4,100,Range-Uniform,297.7695,10000000,2
Parallel,100000,4,100,Range-Uniform,284.8057,10000000,3
Parallel,100000,4,100,Circular-Uniform,282.4917,10000000,1
Parallel,100000,4,100,Circular-Uniform,312.3772,10000000,2
Parallel,100000,4,100,Circular-Uniform,258.9649,10000000,3
Parallel,100000,4,100,Range-IndexDep,264.5804,9995050,1
Parallel,100000,4,100,Range-IndexDep,287.0988,9995050,2
Parallel,100000,4,100,Range-IndexDep,310.1123,9995050,3
Parallel,100000,4,100,Circular-IndexDep,317.1215,9995050,1
Parallel,100000,4,100,Circular-IndexDep,272.9494,9995050,2
Parallel,100000,4,100,Circular-IndexDep,292.2757,9995050,3
Parallel,100000,5,1,Range-Uniform,4.2287,100000,1
Parallel,100000,5,1,Range-Uniform,4.2378,100000,2
Parallel,100000,5,1,Range-Uniform,4.4962,100000,3
Parallel,100000,5,1,Circular-Uniform,4.4778,100000,1
Parallel,100000,5,1,Circular-Uniform,4.4816,100000,2
Parallel,100000,5,1,Circular-Uniform,4.9725,100000,3
Parallel,100000,5,1,Range-IndexDep,5.0288,100000,1
Parallel,100000,5,1,Range-IndexDep,5.0667,100000,2
Parallel,100000,5,1,Range-IndexDep,5.0871,100000,3
Parallel,100000,5,1,Circular-IndexDep,5.2385,100000,1
Parallel,100000,5,1,Circular-IndexDep,4.6552,100000,2
Parallel,100000,5,1,Circular-IndexDep,4.5804,100000,3
Parallel,100000,5,10,Range-Uniform,36.9018,1000000,1
Parallel,100000,5,10,Range-Uniform,41.534,1000000,2
Parallel,100000,5,10,Range-Uniform,35.0692,1000000,3
Parallel,100000,5,10,Circular-Uniform,35.5156,1000000,1
Parallel,100000,5,10,Circular-Uniform,35.2342,1000000,2
Parallel,100000,5,10,Circular-Uniform,40.6075,1000000,3
Parallel,100000,5,10,Range-IndexDep,37.3927,999955,1
Parallel,100000,5,10,Range-IndexDep,39.4703,999955,2
Parallel,100000,5,10,Range-IndexDep,33.8982,999955,3
Parallel,100000,5,10,Circular-IndexDep,39.787,999955,1
Parallel,100000,5,10,Circular-IndexDep,36.078,999955,2
Parallel,100000,5,10,Circular-IndexDep,36.0225,999955,3
Parallel,100000,5,100,Range-Uniform,439.4418,10000000,1
Parallel,100000,5,100,Range-Uniform,268.5522,10000000,2
Parallel,100000,5,100,Range-Uniform,324.8123,10000000,3
Parallel,100000,5,100,Circular-Uniform,409.9939,10000000,1
Parallel,100000,5,100,Circular-Uniform,393.5628,10000000,2
Parallel,100000,5,100,Circular-Uniform,294.3764,10000000,3
Parallel,100000,5,100,Range-IndexDep,322.409,9995050,1
Parallel,100000,5,100,Range-IndexDep,272.2393,9995050,2
Parallel,100000,5,100,Range-IndexDep,303.559,9995050,3
Parallel,100000,5,100,Circular-IndexDep,300.5893,9995050,1
Parallel,100000,5,100,Circular-IndexDep,280.1074,9995050,2
Parallel,100000,5,100,Circular-IndexDep,339.6252,9995050,3
Parallel,100000,10,1,Range-Uniform,6.3261,100000,1
Parallel,100000,10,1,Range-Uniform,6.8244,100000,2
Parallel,100000,10,1,Range-Uniform,6.5142,100000,3
Parallel,100000,10,1,Circular-Uniform,6.0714,100000,1
Parallel,100000,10,1,Circular-Uniform,6.6081,100000,2
Parallel,100000,10,1,Circular-Uniform,5.903,100000,3
Parallel,100000,10,1,Range-IndexDep,6.3505,100000,1
Parallel,100000,10,1,Range-IndexDep,6.4785,100000,2
Parallel,100000,10,1,Range-IndexDep,6.3352,100000,3
Parallel,100000,10,1,Circular-IndexDep,6.5938,100000,1
Parallel,100000,10,1,Circular-IndexDep,6.6322,100000,2
Parallel,100000,10,1,Circular-IndexDep,6.7941,100000,3
Parallel,100000,10,10,Range-Uniform,67.5657,1000000,1
Parallel,100000,10,10,Range-Uniform,69.1241,1000000,2
Parallel,100000,10,10,Range-Uniform,62.8177,1000000,3
Parallel,100000,10,10,Circular-Uniform,60.9944,1000000,1
Parallel,100000,10,10,Circular-Uniform,61.473,1000000,2
Parallel,100000,10,10,Circular-Uniform,66.7909,1000000,3
Parallel,100000,10,10,Range-IndexDep,65.6927,999955,1
Parallel,100000,10,10,Range-IndexDep,64.6618,999955,2
Parallel,100000,10,10,Range-IndexDep,64.7827,999955,3
Parallel,100000,10,10,Circular-IndexDep,65.4047,999955,1
Parallel,100000,10,10,Circular-IndexDep,57.1685,999955,2
Parallel,100000,10,10,Circular-IndexDep,63.9516,999955,3
Parallel,100000,10,100,Range-Uniform,673.3648,10000000,1
Parallel,100000,10,100,Range-Uniform,670.7887,10000000,2
Parallel,100000,10,100,Range-Uniform,663.9086,10000000,3
Parallel,100000,10,100,Circular-Uniform,656.7199,10000000,1
Parallel,100000,10,100,Circular-Uniform,691.6452,10000000,2
Parallel,100000,10,100,Circular-Uniform,664.9485,10000000,3
Parallel,100000,10,100,Range-IndexDep,689.2925,9995050,1
Parallel,100000,10,100,Range-IndexDep,661.926,9995050,2
Parallel,100000,10,100,Range-IndexDep,685.9934,9995050,3
Parallel,100000,10,100,Circular-IndexDep,702.7444,9995050,1
Parallel,100000,10,100,Circular-IndexDep,714.3922,9995050,2
Parallel,100000,10,100,Circular-IndexDep,670.4315,9995050,3
