Mode,N,M,K,PartitionType,TimeMs,Operations,Run
Parallel,10,3,100,Range-IndexDep,0.1501,55,1
Parallel,10,3,100,Range-IndexDep,0.1573,55,2
Parallel,10,3,100,Range-IndexDep,0.1734,55,3
Parallel,10,3,100,Circular-IndexDep,0.14,55,1
Parallel,10,3,100,Circular-IndexDep,0.1424,55,2
Parallel,10,3,100,Circular-IndexDep,0.1384,55,3
Parallel,10,4,1,Range-Uniform,0.5613,10,1
Parallel,10,4,1,Range-Uniform,0.1845,10,2
Parallel,10,4,1,Range-Uniform,0.1902,10,3
Parallel,10,4,1,Circular-Uniform,0.2971,10,1
Parallel,10,4,1,Circular-Uniform,0.4403,10,2
Parallel,10,4,1,Circular-Uniform,0.2727,10,3
Parallel,10,4,1,Range-IndexDep,0.246,10,1
Parallel,10,4,1,Range-IndexDep,0.1822,10,2
Parallel,10,4,1,Range-IndexDep,0.1635,10,3
Parallel,10,4,1,Circular-IndexDep,0.1656,10,1
Parallel,10,4,1,Circular-IndexDep,0.1699,10,2
Parallel,10,4,1,Circular-IndexDep,0.2229,10,3
Parallel,10,4,10,Range-Uniform,0.1731,100,1
Parallel,10,4,10,Range-Uniform,0.1766,100,2
Parallel,10,4,10,Range-Uniform,0.2036,100,3
Parallel,10,4,10,Circular-Uniform,0.1798,100,1
Parallel,10,4,10,Circular-Uniform,0.1809,100,2
Parallel,10,4,10,Circular-Uniform,0.1832,100,3
Parallel,10,4,10,Range-IndexDep,0.1942,55,1
Parallel,10,4,10,Range-IndexDep,0.197,55,2
Parallel,10,4,10,Range-IndexDep,0.2298,55,3
Parallel,10,4,10,Circular-IndexDep,0.202,55,1
Parallel,10,4,10,Circular-IndexDep,0.1565,55,2
Parallel,10,4,10,Circular-IndexDep,0.1816,55,3
Parallel,10,4,100,Range-Uniform,0.1719,1000,1
Parallel,10,4,100,Range-Uniform,0.1734,1000,2
Parallel,10,4,100,Range-Uniform,0.1977,1000,3
Parallel,10,4,100,Circular-Uniform,0.1465,1000,1
Parallel,10,4,100,Circular-Uniform,0.1488,1000,2
Parallel,10,4,100,Circular-Uniform,0.1381,1000,3
Parallel,10,4,100,Range-IndexDep,0.1532,55,1
Parallel,10,4,100,Range-IndexDep,0.1631,55,2
Parallel,10,4,100,Range-IndexDep,0.1451,55,3
Parallel,10,4,100,Circular-IndexDep,0.146,55,1
Parallel,10,4,100,Circular-IndexDep,0.1479,55,2
Parallel,10,4,100,Circular-IndexDep,0.2315,55,3
Parallel,10,5,1,Range-Uniform,0.2487,10,1
Parallel,10,5,1,Range-Uniform,0.3147,10,2
Parallel,10,5,1,Range-Uniform,0.2566,10,3
Parallel,10,5,1,Circular-Uniform,0.1997,10,1
Parallel,10,5,1,Circular-Uniform,0.2199,10,2
Parallel,10,5,1,Circular-Uniform,0.2624,10,3
Parallel,10,5,1,Range-IndexDep,0.2381,10,1
Parallel,10,5,1,Range-IndexDep,0.4152,10,2
Parallel,10,5,1,Range-IndexDep,0.2417,10,3
Parallel,10,5,1,Circular-IndexDep,0.2163,10,1
Parallel,10,5,1,Circular-IndexDep,0.1766,10,2
Parallel,10,5,1,Circular-IndexDep,0.205,10,3
Parallel,10,5,10,Range-Uniform,0.2478,100,1
Parallel,10,5,10,Range-Uniform,0.2042,100,2
Parallel,10,5,10,Range-Uniform,0.2304,100,3
Parallel,10,5,10,Circular-Uniform,0.1892,100,1
Parallel,10,5,10,Circular-Uniform,0.1865,100,2
Parallel,10,5,10,Circular-Uniform,0.209,100,3
Parallel,10,5,10,Range-IndexDep,0.2722,55,1
Parallel,10,5,10,Range-IndexDep,0.2215,55,2
Parallel,10,5,10,Range-IndexDep,0.1864,55,3
Parallel,10,5,10,Circular-IndexDep,0.1882,55,1
Parallel,10,5,10,Circular-IndexDep,0.234,55,2
Parallel,10,5,10,Circular-IndexDep,0.1742,55,3
Parallel,10,5,100,Range-Uniform,0.1909,1000,1
Parallel,10,5,100,Range-Uniform,0.2641,1000,2
Parallel,10,5,100,Range-Uniform,0.2887,1000,3
Parallel,10,5,100,Circular-Uniform,0.233,1000,1
Parallel,10,5,100,Circular-Uniform,0.197,1000,2
Parallel,10,5,100,Circular-Uniform,0.1804,1000,3
Parallel,10,5,100,Range-IndexDep,0.1909,55,1
